U_77396	UBA12301	GB_GCA_003448715.1
U_76000	UBA6793	GB_GCA_002452405.1
U_72359	UBA10485	GB_GCA_003506155.1
U_75543	UBA496	GB_GCA_002503675.1
U_69291	UBA195	GB_GCA_002505445.1
U_65535	UBA678	GB_GCA_002299105.1
U_74774	UBA11369	GB_GCA_003501795.1
U_65860	UBA8091	
U_69669	UBA3201	GB_GCA_002363795.1
U_75164	UBA11490	GB_GCA_003524095.1
U_72618	UBA305	GB_GCA_002497105.1
U_71138	UBA4070	GB_GCA_002383485.1
U_74578	UBA11294	GB_GCA_003542855.1
U_73309	UBA10899	
U_70684	UBA3779	GB_GCA_002368815.1
U_75613	UBA6591	GB_GCA_002433675.1
U_73315	UBA10903	
U_69027	UBA9208	
U_68396	UBA2375	GB_GCA_002343985.1
U_66309	UBA57	GB_GCA_002494565.1
U_70797	UBA3852	GB_GCA_002392595.1
U_71499	UBA10180	GB_GCA_003485645.1
U_74535	UBA5943	GB_GCA_002430675.1
U_69444	UBA3075	GB_GCA_002367375.1
U_73828	UBA5503	GB_GCA_002426965.1
U_71871	UBA10325	
U_72513	UBA287	GB_GCA_002495235.1
U_69904	UBA3355	GB_GCA_002360655.1
U_66777	UBA1436	GB_GCA_002329395.1
U_76490	UBA7134	GB_GCA_002492065.1
U_76534	UBA7167	GB_GCA_002491405.1
U_67734	UBA8746	
U_75645	UBA11662	GB_GCA_003535115.1
U_69865	UBA3335	GB_GCA_002361045.1
U_71168	UBA4092	GB_GCA_002382585.1
U_70902	UBA3929	GB_GCA_002385905.1
U_66322	UBA8246	GB_GCA_003505015.1
U_70288	UBA3526	GB_GCA_002377045.1
U_77501	UBA7697	GB_GCA_002482645.1
U_69589	UBA9353	
U_72779	UBA4964	GB_GCA_002397305.1
U_68036	UBA2141	GB_GCA_002328345.1
U_69455	UBA3084	GB_GCA_002367335.1
U_69856	UBA9438	GB_GCA_003454815.1
U_65528	UBA7976	
U_68628	UBA2531	GB_GCA_002340885.1
U_68085	UBA2172	GB_GCA_002327475.1
U_66697	UBA1367	GB_GCA_002305995.1
U_72980	UBA5061	GB_GCA_002414935.1
U_70783	UBA3841	GB_GCA_002392765.1
U_73999	UBA5605	GB_GCA_002424785.1
U_72550	UBA10546	GB_GCA_003531385.1
U_77587	UBA7763	GB_GCA_002481305.1
U_67331	UBA1736	GB_GCA_002315825.1
U_67627	UBA8712	GB_GCA_003455875.1
U_73357	UBA10917	
U_76103	UBA6857	GB_GCA_002451715.1
U_66400	UBA1172	GB_GCA_002311005.1
U_73138	UBA5097	GB_GCA_002415665.1
U_75500	UBA11613	GB_GCA_003538275.1
